frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
36,  0,  1.750,  0.98,  1, 0.31, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.08, 0.20, 0.00, 0.02, 0.00, 0.08, 0.29, 0.16, 0.03, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37,  0,  1.800,  0.98,  1, 0.36, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.09, 0.00, 0.02, 0.00, 0.12, 0.22, 0.16, 0.03, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38,  0,  1.850,  0.98,  1, 0.33, 0.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.17, 0.00, 0.00, 0.00, 0.10, 0.27, 0.18, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39,  0,  1.900,  0.98,  1, 0.33, 0.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.16, 0.01, 0.00, 0.00, 0.10, 0.17, 0.23, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40,  0,  1.950,  0.98,  1, 0.39, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.22, 0.01, 0.00, 0.00, 0.11, 0.19, 0.21, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
41,  0,  2.000,  0.93,  1, 0.49, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.16, 0.01, 0.00, 0.00, 0.13, 0.08, 0.11, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
42,  0,  2.050,  0.98,  1, 0.57, 0.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.14, 0.00, 0.00, 0.00, 0.10, 0.08, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
43,  0,  2.100,  0.98,  1, 0.49, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.12, 0.00, 0.04, 0.00, 0.10, 0.08, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
44,  0,  2.150,  0.93,  1, 0.37, 0.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.18, 0.00, 0.04, 0.00, 0.11, 0.11, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
45,  0,  2.200,  0.98,  1, 0.28, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.21, 0.00, 0.04, 0.00, 0.11, 0.09, 0.12, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
46,  0,  2.250,  0.93,  1, 0.23, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.16, 0.00, 0.01, 0.00, 0.10, 0.09, 0.06, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
47,  0,  2.300,  0.98,  1, 0.30, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.21, 0.00, 0.00, 0.00, 0.09, 0.07, 0.02, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
48,  0,  2.350,  0.93,  1, 0.35, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.21, 0.00, 0.00, 0.00, 0.06, 0.08, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49,  0,  2.400,  0.93,  1, 0.33, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.25, 0.00, 0.00, 0.00, 0.07, 0.12, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
50,  0,  2.450,  0.98,  1, 0.26, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.14, 0.00, 0.00, 0.00, 0.05, 0.13, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
51,  0,  2.500,  0.98,  1, 0.20, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.19, 0.00, 0.00, 0.01, 0.08, 0.12, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52,  0,  2.550,  0.98,  1, 0.20, 0.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.17, 0.00, 0.00, 0.01, 0.10, 0.03, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
53,  0,  2.600,  0.98,  1, 0.23, 0.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.24, 0.00, 0.00, 0.01, 0.12, 0.10, 0.08, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
54,  0,  2.650,  0.98,  1, 0.31, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.15, 0.00, 0.03, 0.00, 0.11, 0.14, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
55,  0,  2.700,  0.93,  1, 0.44, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.00, 0.03, 0.00, 0.05, 0.14, 0.36, 0.07, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
56,  0,  2.750,  0.98,  1, 0.44, 0.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.22, 0.00, 0.03, 0.00, 0.03, 0.10, 0.32, 0.17, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
57,  0,  2.800,  0.98,  1, 0.52, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.23, 0.00, 0.08, 0.00, 0.00, 0.17, 0.21, 0.28, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
58,  0,  2.850,  0.98,  1, 0.46, 0.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.01, 0.10, 0.00, 0.00, 0.30, 0.25, 0.29, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
59,  0,  2.900,  0.98,  1, 0.57, 0.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.17, 0.01, 0.10, 0.00, 0.00, 0.25, 0.22, 0.35, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
60,  0,  2.950,  0.98,  1, 0.49, 0.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.24, 0.01, 0.01, 0.00, 0.00, 0.18, 0.15, 0.40, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
61,  0,  3.000,  0.98,  1, 0.48, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.27, 0.03, 0.04, 0.01, 0.02, 0.15, 0.07, 0.40, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
62,  0,  3.050,  0.93,  1, 0.39, 0.23, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.01, 0.41, 0.06, 0.05, 0.01, 0.02, 0.28, 0.16, 0.36, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
63,  0,  3.100,  0.98,  1, 0.40, 0.29, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.43, 0.06, 0.10, 0.01, 0.03, 0.24, 0.20, 0.30, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
64,  0,  3.150,  0.98,  1, 0.37, 0.29, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.38, 0.03, 0.08, 0.01, 0.01, 0.18, 0.22, 0.37, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
65,  0,  3.200,  0.98,  1, 0.33, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.22, 0.00, 0.08, 0.01, 0.02, 0.10, 0.19, 0.39, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
66,  0,  3.250,  0.98,  1, 0.31, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.04, 0.01, 0.01, 0.22, 0.26, 0.35, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
67,  0,  3.300,  0.98,  1, 0.37, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.01, 0.08, 0.01, 0.23, 0.17, 0.46, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
